outcome,spec,event_time,att,ci_low,ci_high
Extremeness (|slant|),Full: outlet:event FE,-2,-9.721502345168504e-4,-0.0373632899376881,0.035418989468654405
Extremeness (|slant|),Full: outlet:event FE,0,-0.008828200676127067,-0.07576091065152954,0.05810450929927541
Extremeness (|slant|),Full: outlet:event FE,1,0.019105993894060987,-0.011576989012576765,0.04978897680069874
Extremeness (|slant|),Full: outlet:event FE,2,-0.01030382542305537,-0.03636341723502174,0.015755766388910998
Extremeness (|slant|),Full: outlet:event FE,3,0.027783538825844833,-0.00988670231303599,0.06545377996472565
Extremeness (|slant|),Full: outlet:event FE,4,0.029328361738451828,-0.011342946249775995,0.06999966972667965
Extremeness (|slant|),Full: outlet:event FE,5,0.027186704569244362,-0.003200406259056994,0.05757381539754572
Extremeness (|slant|),Full: outlet:event FE,6,0.032255363725994524,-0.02405502107836252,0.08856574853035157
Extremeness (|slant|),Full: additive FE,-6,-0.01645741706124391,-0.06051035449953154,0.027595520377043718
Extremeness (|slant|),Full: additive FE,-5,0.0010119978013782736,-0.03975249581624521,0.04177649141900176
Extremeness (|slant|),Full: additive FE,-4,-0.003251360177397839,-0.047989263294783875,0.04148654293998819
Extremeness (|slant|),Full: additive FE,-3,-0.02163558570514968,-0.061574166785593326,0.018302995375293965
Extremeness (|slant|),Full: additive FE,-2,-0.03973232994465098,-0.09455498766907175,0.015090327779769798
Extremeness (|slant|),Full: additive FE,0,-0.15803314639832935,-0.37812126281265945,0.06205497001600077
Extremeness (|slant|),Full: additive FE,1,-0.031769265073060445,-0.09801365299540121,0.03447512284928032
Extremeness (|slant|),Full: additive FE,2,-0.05887760182692526,-0.11998095717854346,0.002225753524692946
Extremeness (|slant|),Full: additive FE,3,-0.021034007839116416,-0.08790722661130881,0.04583921093307599
Extremeness (|slant|),Full: additive FE,4,-0.010835876792318863,-0.06882224825699484,0.047150494672357116
Extremeness (|slant|),Full: additive FE,5,-0.0117473320908805,-0.06422931602474789,0.0407346518429869
Extremeness (|slant|),Full: additive FE,6,-0.005505098260220088,-0.07222304436334202,0.06121284784290185
Extremeness (|slant|),Post-1970: outlet:event FE,-6,0.015760299011293704,-0.02384586843053069,0.0553664664531181
Extremeness (|slant|),Post-1970: outlet:event FE,-5,0.034446974410771235,-9.136523567688931e-4,0.06980760117831136
Extremeness (|slant|),Post-1970: outlet:event FE,-4,0.0285793201657429,-0.011446607689802716,0.06860524802128852
Extremeness (|slant|),Post-1970: outlet:event FE,-3,0.012024165396641999,-0.016925393492099657,0.04097372428538365
Extremeness (|slant|),Post-1970: outlet:event FE,-2,2.5044898884073056e-4,-0.03624567588249373,0.03674657386017519
Extremeness (|slant|),Post-1970: outlet:event FE,0,-0.006901943269876706,-0.07449853628205949,0.060694649742306074
Extremeness (|slant|),Post-1970: outlet:event FE,1,0.019626776490183857,-0.011156413306407757,0.05040996628677547
Extremeness (|slant|),Post-1970: outlet:event FE,2,-0.00831072264664665,-0.034596920594956726,0.017975475301663428
Extremeness (|slant|),Post-1970: outlet:event FE,3,0.025627785578902416,-0.012479188171779693,0.06373475932958453
Extremeness (|slant|),Post-1970: outlet:event FE,4,0.029747845813090982,-0.011425924810448605,0.07092161643663057
Extremeness (|slant|),Post-1970: outlet:event FE,5,0.02772859509612516,-0.002955374943689623,0.058412565135939946
Extremeness (|slant|),Post-1970: outlet:event FE,6,0.03389043191318656,-0.023052896184535293,0.09083376001090841
Extremeness (|slant|),Post-1990: outlet:event FE,-6,0.018261933656250055,-0.0231880600647515,0.05971192737725161
Extremeness (|slant|),Post-1990: outlet:event FE,-5,0.040460142910580546,0.004366490504030901,0.07655379531713019
Extremeness (|slant|),Post-1990: outlet:event FE,-4,0.03274980488915663,-0.010169752532486385,0.07566936231079965
Extremeness (|slant|),Post-1990: outlet:event FE,-3,0.02056164404518572,-0.005755964438222995,0.046879252528594435
Extremeness (|slant|),Post-1990: outlet:event FE,-2,7.200772522590465e-4,-0.03949363028759491,0.040933784792113
Extremeness (|slant|),Post-1990: outlet:event FE,1,0.03116341708207022,-0.0028782825380485703,0.06520511670218901
Extremeness (|slant|),Post-1990: outlet:event FE,2,6.515442057190655e-4,-0.024723711489625398,0.026026799901063526
Extremeness (|slant|),Post-1990: outlet:event FE,3,0.023551723745853265,-0.01963102281714097,0.0667344703088475
Extremeness (|slant|),Post-1990: outlet:event FE,4,0.04235349472580153,-0.003694098311278003,0.08840108776288105
Extremeness (|slant|),Post-1990: outlet:event FE,5,0.037675962040577535,0.0044440586047526515,0.07090786547640242
Extremeness (|slant|),Post-1990: outlet:event FE,6,0.041858726357245,-0.021253508264412087,0.1049709609789021
Extremeness (|slant|),Post-1990: additive FE,-6,-2.1830318036134794e-4,-0.028831609801451684,0.02839500344072899
Extremeness (|slant|),Post-1990: additive FE,-5,0.02233588325577921,0.0015920978974178247,0.0430796686141406
Extremeness (|slant|),Post-1990: additive FE,-4,0.014747481561721638,-0.01333787957713502,0.0428328427005783
Extremeness (|slant|),Post-1990: additive FE,-3,0.0023592702387753694,-0.021957953952847616,0.026676494430398358
Extremeness (|slant|),Post-1990: additive FE,-2,-0.017398394500852857,-0.04200112973369367,0.007204340731987963
Extremeness (|slant|),Post-1990: additive FE,0,-0.6358057571247042,-4628.018398588692,4626.746787074442
Extremeness (|slant|),Post-1990: additive FE,1,0.013222887984050304,-0.01214901455568391,0.03859479052378452
Extremeness (|slant|),Post-1990: additive FE,2,-0.01722941110987725,-0.04402403889203686,0.009565216672282367
Extremeness (|slant|),Post-1990: additive FE,3,0.005587674481284395,-0.019540620229605003,0.030715969192173793
Extremeness (|slant|),Post-1990: additive FE,4,0.024325192270112417,-0.0015454452588914702,0.050195829799116305
Extremeness (|slant|),Post-1990: additive FE,5,0.019652054451857078,-0.004556647898290609,0.04386075680200477
Extremeness (|slant|),Post-1990: additive FE,6,0.02373072037202074,-0.020012458729952717,0.0674738994739942
